y_number,episode_number,original_id
94b07b9b-8db4-463d-aacb-3872e3456d7a,,94b07b9b-8db4-463d-aacb-3872e3456d7a
9784da66-9f64-4ade-8ea4-3c184c9a7bf9,,9784da66-9f64-4ade-8ea4-3c184c9a7bf9
9934d091-8b7a-4bd7-bcbd-12328d96484a,,9934d091-8b7a-4bd7-bcbd-12328d96484a
a6fd3864-d940-4165-b3ee-1a432877a3da,,a6fd3864-d940-4165-b3ee-1a432877a3da
aff50b62-70d2-48ff-a821-8b2b4ab025db,,aff50b62-70d2-48ff-a821-8b2b4ab025db
b7ce2f5f-881b-4f63-821a-ce0cd7a1e535,,b7ce2f5f-881b-4f63-821a-ce0cd7a1e535
bb373c64-6817-46a0-a411-c9f0dc898768,,bb373c64-6817-46a0-a411-c9f0dc898768
d051c56b-7876-4ac1-9e0d-acf0e4571f2d,,d051c56b-7876-4ac1-9e0d-acf0e4571f2d
d0b49155-fbb4-4233-b9f8-5517fc664ce5,,d0b49155-fbb4-4233-b9f8-5517fc664ce5
D1010,,D1010
D1022,,D1022
D1023,,D1023
D1076,,D1076
D1081,,D1081
D1089,,D1089
D1091,,D1091
D1095,,D1095
D1328B,,D1328B
D2225,,D2225
D2233,,D2233
D900,,D900
D926,,D926
D927,,D927
D934,,D934
D937,,D937
dc4ba3f6-00fd-456e-a4fd-987c7f0c94c2,,dc4ba3f6-00fd-456e-a4fd-987c7f0c94c2
1049,,1049
1059,,1059
1061,,1061
1062,,1062
1063,,1063
1067,,1067
1097,,1097
1098,,1098
1107,,1107
1111,,1111
1116,,1116
1120,,1120
1140,,1140
1146.r1,,1146.r1
1148,,1148
1149_SP,,1149_SP
1149_W,,1149_W
1161,,1161
1161.r1,,1161.r1
1162,,1162
1177,,1177
1180-RPT,,1180-RPT
1181,,1181
1182SP,,1182SP
1187,,1187
1189-QA,,1189-QA
1197,,1197
1198,,1198
1199,,1199
119,,119
1202,,1202
1203,,1203
121,,121
1222,,1222
1225,,1225
1226,,1226
122,,122
1320,,1320
1321,,1321
1325,,1325
1331,,1331
1332,,1332
133,,133
1347,,1347
1349,,1349
134,,134
1370,,1370
138,,138
1400,,1400
140-LARGE,,140-LARGE
140-SMALL,,140-SMALL
1411,,1411
143,,143
1443,,1443
1449,,1449
146,,146
1501,,1501
1665,,1665
1679,,1679
1688,,1688
1689,,1689
2113,,2113
211,,211
2123,,2123
252,,252
355,,355
369,,369
403A,,403A
403B,,403B
4562,,4562
4711,,4711
4807,,4807
540,,540
59,,59
60,,60
619,,619
61,,61
648-L,,648-L
648-S,,648-S
660rpt,,660rpt
674,,674
678,,678
699-L-SP,,699-L-SP
699-R,,699-R
709,,709
759,,759
786,,786
790,,790
837,,837
882,,882
882.r1,,882.r1
931,,931
944,,944
984,,984
986,,986
993-R,,993-R
993-SP,,993-SP
D2016,,D2016
D2022,,D2022
D2029,,D2029
D2055,,D2055
D2063,,D2063
D2064,,D2064
D2083,,D2083
D2111,,D2111
D2138,,D2138
D2140,,D2140
D2681,,D2681
D33,,D33
D747A,,D747A
D783A,,D783A
D790A,,D790A
D862AUTO,,D862AUTO
D862MANUAL,,D862MANUAL
D863AUTO,,D863AUTO
D863MANUAL,,D863MANUAL
D923large,,D923large
D923small,,D923small
D932.r1,,D932.r1
D938,,D938
DIGEST24,,DIGEST24
DIGEST86,,DIGEST86
TC_D146,,TC_D146
TC_D1489,,TC_D1489
TC_D151,,TC_D151
TC_D1709,,TC_D1709
TC_D1819,,TC_D1819
TC_D2068,,TC_D2068
TC_D211,,TC_D211
TC_D220,,TC_D220
TC_D712,,TC_D712
TC_D848,,TC_D848
TC_D862,,TC_D862
TC_D863,,TC_D863
TC_D875,,TC_D875
TC_D962,,TC_D962
TC_D964,,TC_D964
TC_D979,,TC_D979
TC_D980,,TC_D980
TC_D981,,TC_D981
TC_D989,,TC_D989
Y1756J,,Y1756J
Y1756R,,Y1756R
Y1778,,Y1778
Y1782,,Y1782
Y1795,,Y1795
Y19-1544,,Y19-1544
Y19-1551SP,,Y19-1551SP
Y19-1560SP,,Y19-1560SP
Y19-1562,,Y19-1562
Y19-1586,,Y19-1586
Y19-1586.r1,,Y19-1586.r1
Y19-1587,,Y19-1587
Y19-1595,,Y19-1595
Y19-1611,,Y19-1611
Y19-1618,,Y19-1618
Y19-1631,,Y19-1631
Y19-1732LSP,,Y19-1732LSP
Y19-1748,,Y19-1748
Y19-1748.r1,,Y19-1748.r1
Y19-1772,,Y19-1772
Y19-1806,,Y19-1806
Y19-1833SP,,Y19-1833SP
Y19-1836-SP,,Y19-1836-SP
Y19-1853-R,,Y19-1853-R
Y19-1853-SP,,Y19-1853-SP
Y19-1870,,Y19-1870
Y19-1886,,Y19-1886
Y19-1971R,,Y19-1971R
Y19-1971SP,,Y19-1971SP
Y19-1972R,,Y19-1972R
Y19-1972SP,,Y19-1972SP
Y19-1984,,Y19-1984
Y19-1986,,Y19-1986
Y19-2005,,Y19-2005
Y19-2007,,Y19-2007
Y19-2008,,Y19-2008
Y19-2122D,,Y19-2122D
Y19-2122SP,,Y19-2122SP
Y19-2135,,Y19-2135
Y19-2139,,Y19-2139
Y19-2142,,Y19-2142
Y19-2145,,Y19-2145
Y19-2156,,Y19-2156
Y19-2164,,Y19-2164
Y19-2173,,Y19-2173
Y1,,Y1
Y2076,,Y2076
Y2143,,Y2143
Y2210LG,,Y2210LG
Y2210LG.r1,,Y2210LG.r1
Y2210SM,,Y2210SM
Y2215,,Y2215
Y2376,,Y2376
Y2408,,Y2408
Y2420,,Y2420
Y2421,,Y2421
Y2550,,Y2550
Y2627,,Y2627
Y2632,,Y2632
Y2643LARGE,,Y2643LARGE
Y2643SMALL,,Y2643SMALL
Y3062A,,Y3062A
Y3062B,,Y3062B
Y3062C,,Y3062C
Y3958,,Y3958
Y3967,,Y3967
Y3976,,Y3976
Y4142,,Y4142
Y4202LARGE,,Y4202LARGE
Y4208,,Y4208
Y4210,,Y4210
Y4334,,Y4334
Y4348,,Y4348
Y4426,,Y4426
Y4432,,Y4432
Y4492,,Y4492
Y4503,,Y4503
Y4538,,Y4538
Y4564-RPT,,Y4564-RPT
Y4564,,Y4564
Y4582,,Y4582
Y4589,,Y4589
Y4627,,Y4627
Y4686,,Y4686
Y4688,,Y4688
Y4759,,Y4759
Y497-RPT,,Y497-RPT
Y80,,Y80
Y86,,Y86
e062ed50-ef45-4753-a6cc-4dc518353090,,e062ed50-ef45-4753-a6cc-4dc518353090
e42a4914-ad25-48a5-aa9d-ac53a946ecab,,e42a4914-ad25-48a5-aa9d-ac53a946ecab
e4b79529-b604-448b-a273-1dc8fbfef36e,,e4b79529-b604-448b-a273-1dc8fbfef36e
e7a171f8-7b72-4fb5-8abe-47e64cceb17c,,e7a171f8-7b72-4fb5-8abe-47e64cceb17c
Y19-2188,,Y19-2188
Y19-2217,,Y19-2217
Y19-2218,,Y19-2218
Y19-2222,,Y19-2222
Y19-2222R,,Y19-2222R
Y19-2222SP,,Y19-2222SP
Y19-2223,,Y19-2223
Y19-2225,,Y19-2225
Y19-2230,,Y19-2230
Y19-2235,,Y19-2235
Y19-2238_G,,Y19-2238_G
Y19-2246,,Y19-2246
Y19-2272_R,,Y19-2272_R
Y19-2273,,Y19-2273
Y19-2276,,Y19-2276
Y19-2278,,Y19-2278
Y19-2279,,Y19-2279
Y19-2300,,Y19-2300
Y19-2306,,Y19-2306
Y19-2311-R,,Y19-2311-R
Y19-2328,,Y19-2328
Y19-2361,,Y19-2361
Y19-2362,,Y19-2362
Y19-2364,,Y19-2364
Y19-2375,,Y19-2375
Y19-2377,,Y19-2377
Y19-2380,,Y19-2380
Y19-2382,,Y19-2382
Y19-2401,,Y19-2401
2605,,2605
2609-R,,2609-R
2609-SP,,2609-SP
2615-SP,,2615-SP
2641-SP,,2641-SP
DIGEST-7-AC,,DIGEST-7-AC
DIGEST-7-NGS,,DIGEST-7-NGS
Y19-2472,,Y19-2472
Y19-2474,,Y19-2474
Y19-2502,,Y19-2502
Y19-2507,,Y19-2507
Y19-2595,,Y19-2595
Y19-2603-SP,,Y19-2603-SP
Y19-2606,,Y19-2606
Y19-2631,,Y19-2631
Y19-2683,,Y19-2683
Y19-2715,,Y19-2715
Y19-2732,,Y19-2732
Y19-2732_190818-1340,,Y19-2732_190818-1340
Y19-2687_190818-1420,,Y19-2687_190818-1420
Y19-2781_190818-1420,,Y19-2781_190818-1420
Y19-2715_190818-1448,,Y19-2715_190818-1448
Y19-2820D_190818-1448,,Y19-2820D_190818-1448
Y19-2795_190818-1448,,Y19-2795_190818-1448
Y19-2820SP_190818-1448,,Y19-2820SP_190818-1448
Y19-2765_190818-1644,,Y19-2765_190818-1644
Y19-2759_190818-1644,,Y19-2759_190818-1644
Y19-2747SP_190818-1644,,Y19-2747SP_190818-1644
Y19-2762_190818-1644,,Y19-2762_190818-1644
Y19-2772_190818-1644,,Y19-2772_190818-1644
Y19-2838_190821-1247,,Y19-2838_190821-1247
Y19-2826_190821-1247,,Y19-2826_190821-1247
Y19-2835_190821-1247,,Y19-2835_190821-1247
Y19-2851_190821-1247,,Y19-2851_190821-1247
Y19-2836_190821-1247,,Y19-2836_190821-1247
Y19-2923_190827-1030,,Y19-2923_190827-1030
Y19-2905-SP_190827-1030,,Y19-2905-SP_190827-1030
Y19-2887_190827-1030,,Y19-2887_190827-1030
2934R_190830-1307,,2934R_190830-1307
Y19-2960_190831-0927,,Y19-2960_190831-0927
Y19-2966_190831-0927,,Y19-2966_190831-0927
Y19-2971SP_190831-0927,,Y19-2971SP_190831-0927
Y19-2971R_190831-0927,,Y19-2971R_190831-0927
DIGEST-7_190902-1307,,DIGEST-7_190902-1307
Y19-2998_190903-1247,,Y19-2998_190903-1247
Y19-3047_190909-1457,,Y19-3047_190909-1457
Y19-3096_190910-1557,,Y19-3096_190910-1557
Y19-3015_190910-1557,,Y19-3015_190910-1557
Y19-3123_190910-1557,,Y19-3123_190910-1557
Y19-3129R_190911-1117,,Y19-3129R_190911-1117
Y19-3129SP_190911-1117,,Y19-3129SP_190911-1117
Y19-3145_190911-1117,,Y19-3145_190911-1117
Y19-3152_190911-1504,,Y19-3152_190911-1504
Y19-3209-SP_190916-1037,,Y19-3209-SP_190916-1037
Y19-3212_190916-1037,,Y19-3212_190916-1037
Y19-3208_190916-1037,,Y19-3208_190916-1037
Y19-3207_190916-1157,,Y19-3207_190916-1157
Y19-3206_190916-1157,,Y19-3206_190916-1157
Y19-3201_190916-1157,,Y19-3201_190916-1157
3201_190916-1157,,3201_190916-1157
3198_190916-1157,,3198_190916-1157
Y19-3198_190916-1157,,Y19-3198_190916-1157
3205-SP_190916-1157,,3205-SP_190916-1157
Y19-3205-SP_190916-1157,,Y19-3205-SP_190916-1157
Y19-3205-R_190916-1157,,Y19-3205-R_190916-1157
3205-R_190916-1157,,3205-R_190916-1157
Y19-3208_190916-1157,,Y19-3208_190916-1157
Y19-3218_190917-1052,,Y19-3218_190917-1052
Y19-3044_190917-1237,,Y19-3044_190917-1237
Y19-3015_190917-1237,,Y19-3015_190917-1237
Y19-3044_190917-1952,,Y19-3044_190917-1952
Y19-3015_190917-1952,,Y19-3015_190917-1952
Y19-3044_190917-2200,,Y19-3044_190917-2200
Y19-3015_190917-2200,,Y19-3015_190917-2200

